Year,Scenario,Extraction_tonnes,Reserves_tonnes,Unit_Cost_USD,Scarcity_Rent_USD,Price_USD,Implied_Discount_Rate
1,oversupply  ,1440000.00,53560000.00,13676.73,1326.38,15003.11,0.567892
2,oversupply  ,1440000.00,52120000.00,12773.45,2079.63,14853.08,0.321376
3,oversupply  ,1440000.00,50680000.00,11956.58,2747.97,14704.55,0.214826
4,oversupply  ,1440000.00,49240000.00,11219.20,3338.30,14557.50,0.155374
5,oversupply  ,1440000.00,47800000.00,10554.94,3856.99,14411.93,0.094915
6,oversupply  ,2147012.60,45652987.40,10044.73,4223.08,14267.81,0.040742
7,oversupply  ,3235396.17,42417591.24,9730.00,4395.13,14125.13,0.016335
8,oversupply  ,3600000.00,38817591.24,9516.95,4466.93,13983.88,0.004660
9,oversupply  ,3600000.00,35217591.24,9356.30,4487.74,13844.04,-0.005790
10,oversupply  ,3600000.00,31617591.24,9243.84,4461.76,13705.60,-0.007049
11,oversupply  ,3294495.71,28323095.53,9138.23,4430.31,13568.54,0.008698
12,oversupply  ,2403095.53,25920000.00,8964.01,4468.85,13432.86,0.026976
13,oversupply  ,1440000.00,24480000.00,8709.13,4589.40,13298.53,0.019036
14,oversupply  ,1440000.00,23040000.00,8488.78,4676.76,13165.54,0.012174
15,oversupply  ,1440000.00,21600000.00,8300.19,4733.70,13033.89,0.006131
16,oversupply  ,1440000.00,20160000.00,8140.83,4762.72,12903.55,0.000721
17,oversupply  ,1440000.00,18720000.00,8008.36,4766.15,12774.51,-0.004197
18,oversupply  ,1440000.00,17280000.00,7900.62,4746.15,12646.77,-0.008742
19,oversupply  ,1440000.00,15840000.00,7815.64,4704.66,12520.30,-0.012999
20,oversupply  ,1440000.00,14400000.00,7751.60,4643.50,12395.10,-0.017049
21,oversupply  ,1440000.00,12960000.00,7706.81,4564.34,12271.15,-0.020956
22,oversupply  ,1440000.00,11520000.00,7679.75,4468.69,12148.44,-0.024779
23,oversupply  ,1440000.00,10080000.00,7668.99,4357.96,12026.95,-0.028571
24,oversupply  ,1440000.00,8640000.00,7673.23,4233.45,11906.68,-0.032385
25,oversupply  ,1440000.00,7200000.00,7691.27,4096.35,11787.62,-0.036280
26,oversupply  ,1440000.00,5760000.00,7722.01,3947.73,11669.74,-0.040305
27,oversupply  ,1440000.00,4320000.00,7764.42,3788.62,11553.04,-0.044525
28,oversupply  ,1440000.00,2880000.00,7817.58,3619.93,11437.51,-0.049010
29,oversupply  ,1440000.00,1440000.00,7880.63,3442.51,11323.14,-0.053847
30,oversupply  ,1440000.00,0.00,7952.76,3257.15,11209.91,0.000000
1,baseline    ,1440000.00,53560000.00,13676.73,1326.38,15003.11,0.850677
2,baseline    ,1440000.00,52120000.00,12773.45,2454.71,15228.16,0.425832
3,baseline    ,1440000.00,50680000.00,11956.58,3500.00,15456.58,0.276924
4,baseline    ,1440000.00,49240000.00,11219.20,4469.23,15688.43,0.201282
5,baseline    ,1440000.00,47800000.00,10554.94,5368.81,15923.75,0.155684
6,baseline    ,1440000.00,46360000.00,9957.96,6204.65,16162.61,0.104874
7,baseline    ,2473280.78,43886719.22,9549.70,6855.35,16405.05,0.066973
8,baseline    ,3600000.00,40286719.22,9336.65,7314.48,16651.13,0.056110
9,baseline    ,3600000.00,36686719.22,9175.99,7724.90,16900.89,0.047376
10,baseline    ,3600000.00,33086719.22,9063.54,8090.87,17154.41,0.040221
11,baseline    ,3600000.00,29486719.22,8995.42,8416.30,17411.72,0.037327
12,baseline    ,3390990.70,26095728.52,8942.45,8730.45,17672.90,0.057088
13,baseline    ,1615728.52,24480000.00,8709.13,9228.86,17937.99,0.053032
14,baseline    ,1440000.00,23040000.00,8488.78,9718.28,18207.06,0.047508
15,baseline    ,1440000.00,21600000.00,8300.19,10179.98,18480.17,0.042884
16,baseline    ,1440000.00,20160000.00,8140.83,10616.54,18757.37,0.038980
17,baseline    ,1440000.00,18720000.00,8008.36,11030.37,19038.73,0.035658
18,baseline    ,1440000.00,17280000.00,7900.62,11423.69,19324.31,0.032813
19,baseline    ,1440000.00,15840000.00,7815.64,11798.54,19614.18,0.030364
20,baseline    ,1440000.00,14400000.00,7751.60,12156.79,19908.39,0.028248
21,baseline    ,1440000.00,12960000.00,7706.81,12500.20,20207.01,0.026413
22,baseline    ,1440000.00,11520000.00,7679.75,12830.37,20510.12,0.024817
23,baseline    ,1440000.00,10080000.00,7668.99,13148.78,20817.77,0.023426
24,baseline    ,1440000.00,8640000.00,7673.23,13456.81,21130.04,0.022213
25,baseline    ,1440000.00,7200000.00,7691.27,13755.72,21446.99,0.021152
26,baseline    ,1440000.00,5760000.00,7722.01,14046.68,21768.69,0.020227
27,baseline    ,1440000.00,4320000.00,7764.42,14330.80,22095.22,0.019418
28,baseline    ,1440000.00,2880000.00,7817.58,14609.07,22426.65,0.018711
29,baseline    ,1440000.00,1440000.00,7880.63,14882.42,22763.05,0.018096
30,baseline    ,1440000.00,0.00,7952.76,15151.74,23104.50,0.000000
1,supply_const,1440000.00,53560000.00,13676.73,1326.38,15003.11,0.907229
2,supply_const,1440000.00,52120000.00,12773.45,2529.72,15303.17,0.443901
3,supply_const,1440000.00,50680000.00,11956.58,3652.66,15609.24,0.287343
4,supply_const,1440000.00,49240000.00,11219.20,4702.22,15921.42,0.208983
5,supply_const,1440000.00,47800000.00,10554.94,5684.91,16239.85,0.162145
6,supply_const,1440000.00,46360000.00,9957.96,6606.69,16564.65,0.120029
7,supply_const,2037898.07,44322101.93,9496.26,7399.68,16895.94,0.074458
8,supply_const,3600000.00,40722101.93,9283.22,7950.64,17233.86,0.063558
9,supply_const,3600000.00,37122101.93,9122.56,8455.97,17578.53,0.054877
10,supply_const,3600000.00,33522101.93,9010.10,8920.01,17930.11,0.047838
11,supply_const,3600000.00,29922101.93,8941.99,9346.72,18288.71,0.042057
12,supply_const,3600000.00,26322101.93,8914.66,9739.82,18654.48,0.059408
13,supply_const,1842101.93,24480000.00,8709.13,10318.44,19027.57,0.058236
14,supply_const,1440000.00,23040000.00,8488.78,10919.34,19408.12,0.052820
15,supply_const,1440000.00,21600000.00,8300.19,11496.10,19796.29,0.048302
16,supply_const,1440000.00,20160000.00,8140.83,12051.38,20192.21,0.044502
17,supply_const,1440000.00,18720000.00,8008.36,12587.69,20596.05,0.041284
18,supply_const,1440000.00,17280000.00,7900.62,13107.36,21007.98,0.038539
19,supply_const,1440000.00,15840000.00,7815.64,13612.50,21428.14,0.036188
20,supply_const,1440000.00,14400000.00,7751.60,14105.10,21856.70,0.034166
21,supply_const,1440000.00,12960000.00,7706.81,14587.02,22293.83,0.032422
22,supply_const,1440000.00,11520000.00,7679.75,15059.96,22739.71,0.030913
23,supply_const,1440000.00,10080000.00,7668.99,15525.51,23194.50,0.029606
24,supply_const,1440000.00,8640000.00,7673.23,15985.16,23658.39,0.028472
25,supply_const,1440000.00,7200000.00,7691.27,16440.29,24131.56,0.027487
26,supply_const,1440000.00,5760000.00,7722.01,16892.18,24614.19,0.026632
27,supply_const,1440000.00,4320000.00,7764.42,17342.06,25106.48,0.025889
28,supply_const,1440000.00,2880000.00,7817.58,17791.03,25608.61,0.025244
29,supply_const,1440000.00,1440000.00,7880.63,18240.15,26120.78,0.024686
30,supply_const,1440000.00,0.00,7952.76,18690.43,26643.19,0.000000
1,ev_boom     ,1440000.00,53560000.00,13676.73,1326.38,15003.11,0.963789
2,ev_boom     ,1440000.00,52120000.00,12773.45,2604.74,15378.19,0.461207
3,ev_boom     ,1440000.00,50680000.00,11956.58,3806.06,15762.64,0.297277
4,ev_boom     ,1440000.00,49240000.00,11219.20,4937.51,16156.71,0.216339
5,ev_boom     ,1440000.00,47800000.00,10554.94,6005.69,16560.63,0.168338
6,ev_boom     ,1440000.00,46360000.00,9957.96,7016.68,16974.64,0.133753
7,ev_boom     ,1610698.39,44749301.61,9443.83,7955.18,17399.01,0.082418
8,ev_boom     ,3537803.34,41211498.26,9223.15,8610.83,17833.98,0.070435
9,ev_boom     ,3600000.00,37611498.26,9062.50,9217.33,18279.83,0.061781
10,ev_boom     ,3600000.00,34011498.26,8950.04,9786.79,18736.83,0.054822
11,ev_boom     ,3600000.00,30411498.26,8881.92,10323.33,19205.25,0.049156
12,ev_boom     ,3600000.00,26811498.26,8854.60,10830.78,19685.38,0.058869
13,ev_boom     ,2331498.26,24480000.00,8709.13,11468.38,20177.51,0.063199
14,ev_boom     ,1440000.00,23040000.00,8488.78,12193.17,20681.95,0.057871
15,ev_boom     ,1440000.00,21600000.00,8300.19,12898.81,21199.00,0.053442
16,ev_boom     ,1440000.00,20160000.00,8140.83,13588.15,21728.98,0.049727
17,ev_boom     ,1440000.00,18720000.00,8008.36,14263.84,22272.20,0.046590
18,ev_boom     ,1440000.00,17280000.00,7900.62,14928.39,22829.01,0.043923
19,ev_boom     ,1440000.00,15840000.00,7815.64,15584.09,23399.73,0.041647
20,ev_boom     ,1440000.00,14400000.00,7751.60,16233.12,23984.72,0.039697
21,ev_boom     ,1440000.00,12960000.00,7706.81,16877.53,24584.34,0.038019
22,ev_boom     ,1440000.00,11520000.00,7679.75,17519.20,25198.95,0.036574
23,ev_boom     ,1440000.00,10080000.00,7668.99,18159.94,25828.93,0.035324
24,ev_boom     ,1440000.00,8640000.00,7673.23,18801.42,26474.65,0.034243
25,ev_boom     ,1440000.00,7200000.00,7691.27,19445.24,27136.51,0.033308
26,ev_boom     ,1440000.00,5760000.00,7722.01,20092.92,27814.93,0.032497
27,ev_boom     ,1440000.00,4320000.00,7764.42,20745.88,28510.30,0.031794
28,ev_boom     ,1440000.00,2880000.00,7817.58,21405.48,29223.06,0.031185
29,ev_boom     ,1440000.00,1440000.00,7880.63,22073.00,29953.63,0.030658
30,ev_boom     ,1440000.00,0.00,7952.76,22749.72,30702.48,0.000000
